ID;source;affil;lang;type;comment;upvotes;irony_sarcasm;anger;sadness;stupidity;personas;places;disaster;rhetorical_q;personal;collective;agency;freedom;migration;numbers;sources;threat;morality;failure;illegal;fear;trash;lies;youth;god;
TE5_598;telegraph;cons;british;broadsh;Jean Monnet's model of the EU is deader than a Norwegian Blue parrot, but you would never know this from the mad Remainers and Rejoiners, who haven't got a clue what is actually going on in their beloved European Union. Thank God for sane people in public life like Lord Frost.;319;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE5_603;telegraph;cons;british;broadsh;All that may be true but the United Kingdom is not sovereign and has not done anything for British people for decades. It has not taken any advantage from Brexit in fact it raised taxes and introduced more red tape while increasing migration. Solutions are easy if wanted edited;248;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;
TE3_513;telegraph;cons;british;broadsh;"Just in case no one is aware  First council elections held last week since the GE

Both seats on council in Derbyshire and were won by - the Reform party ??????

Yesterday

3 former independent councillors in Wales changed their allegiance and now represent the council as

3 Reform party councillors ??????

So in a month 5 NEW Reform party councillors to add to the current ones ..

Next May get out and vote Reform party at every council, local, bye and GE ..??????

Reform party ARE the future ?????? edited";245;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;
TE4_512;telegraph;cons;british;broadsh;"According to a report by Tower Hamlets council nearly 80 % of Somalians are benefit dependent.  Just about all Somalians in the UK were originally asylum seekers , yet flights from UK airports to Somalia are full of former asylum seekers going home on holiday while fresh Somali asylum seekers arrive.

Similarly Kabul had 10,000?s Afghans with British residency / passports in August 2021 , many of whome were found to have gone home on extended holiday with their UK benefits being paid into their bank accounts and council housing sublet.

We are blatantly and openly being taken for mugs and our politicians won?t do anything about it !! ";242;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
TE9_431;telegraph;cons;british;broadsh;"Why are mainly African and Muslim 'refugees' Europe's problem?  The Eritreans who drowned trying to cross the Channel should not be in Europe.

Saudi Arabia is only 100 miles east by boat. The infantile dependency of third worlders on the west must end. ";171;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
TE4_478;telegraph;cons;british;broadsh;"So German is deporting Afghan illegals back to Afghanistan ?  Now,there?s an idea

Why cant Britain do the same ?

The very threat of being f deported to where they came from be it Afghanistan, Somalia,etc would surely be a deterrent ?

Why is UK so bloody spineless ? ";162;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;
TE5_586;telegraph;cons;british;broadsh;EU economies are failing badly. That is a basic fact as the big state over regulation socialist model proves. Over half global social spending on some 7% of global population. But the real disaster is EU demographics. They are falling fast. In about 10-15 years EU workforces will be some 20%-25% smaller. That equals about 20% less EU GDP and tax. With about 20% more EU costs of welfare, pensions etc. The EU has no way out. The issue is how much of this disaster can it hide. It is now heading below 10% of global trade. While Asia will soon be over 50%. In which the UK is well placed to prosper. The UK must get more free from EU control and influence. Then the UK will prosper.;158;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;
TE6_388;telegraph;cons;british;broadsh;We need to stop kidding ourselves - the French are only too glad to get rid of these people. As recently revealed, each one that gets to the UK saves France a minimum of ?150K. Starmer?s ?Smash The Gangs? plan is utter fantasy. The bulk of the Labour Party are basically in favour of open borders and unfettered movement of people. ;142;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
TE9_440;telegraph;cons;british;broadsh;As a regular visitor to Germany, it's very obvious something has to happen. Since Merkel's 'wir schaffen das', most German towns and cities, no matter how big or how small, have been negatively impacted by mass immigration.;135;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
TE4_495;telegraph;cons;british;broadsh;?Irregular migration? !! They still can?t bring themselves to call it ?ILLEGAL IMMIGRATION?.;132;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;
TE5_568;telegraph;cons;british;broadsh;Let?s face it - Starmer just isn?t that bright;127;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE14_587;telegraph;cons;british;broadsh;The man needs slapping down for calling the protests on the streets of London, far right. They were not far right, they were mothers and fathers, brothers and sisters, grandmothers and grandfathers terrified of what this country has become and what the governments have done to us. Our children have been murdered and you expect us to sit by quietly? When the mulsims were rioting and screaming and threatening what did they do, nothing, they said oh we understand your frustrations. The police turned up in riot gear and arrested and assaulted innocent people . No trouble would have happened if the police had stood back and let the people vent, but, no, they couldn't do that and they bullied and trampled on folk who were doing nothing but standing there. This was an orchestrated attack on the BRITISH in order to provoke a response so that Starmer could then call them far right and say that he was going to stop protests!!! When the people sang to the police, you're not British anymore, I am afraid they were right. I am disgusted at the police and the actions they have taken against their own people. Far right, no just right, sick and tired of being treated like a second class citizen in our own home and fed up having our voices ignored and removed. They arrested a woman who said she had never been arrested before, she had a pacemaker, 73 years old!!! But what has happened to the thug who broke the police officers nose? Any arrests there?;127;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE13_881;telegraph;cons;british;broadsh;When I started out in work in 1981, it was fun, exciting and as an entrepreneur you could reap the rewards. By 2001, red tape had made being in business a lot less fun, and considerably less rewarding. Instead of driving my business. I was spending too much of my time managing staff. By 2012, I knew I didn?t want to have staff anymore as it had become too onerous as an employer. Their rights and whims outstripped the potential rewards from running a business, but all the risks of owning a business remained. There is not an environment for taking a chance, risking your capital, and your health, because running a business is a lot of hard work. So many people now feel they are owed a living and have no loyalty to an employer who is taking all the risk, often putting their house on the line. Until we make it attractive for entrepreneurs we will go backwards. Too many people are looking for cushy. Wfh, do as little as possible for as much as possible.;124;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE2_440;telegraph;cons;british;broadsh;Surely it should be Ireland who pays the fine? Apple was acting within Irish laws weren?t they?;123;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE4_510;telegraph;cons;british;broadsh;"So despite all the laws, all the endless lectures we've had about the sanctity of the '4 freedoms', all the finger wagging about cherry picking, Germany can just announce the end of free movement in their own country unilaterally. That's it. They decide, not Europe or EU.  All those Schengen principles shoved down other's throats, but we, Germany, can do it whether you like or not.

We don't have to follow the rules ";119;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;
TE9_420;telegraph;cons;british;broadsh;I wonder why nearly all muslim countries won't accept the trash and dross that we have to accept here in this country;116;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
TE14_472;telegraph;cons;british;broadsh;Given we can't comment on the telling off Starmer gave the nation at 4pm today, I'll post here. I do not condone violence. And it's an unfortunate fact there will always be the usual suspects turning up to any protest. But to dismiss these protests because he believes they're being organised by 'hard right' bogeymen, is a slap in the face for people who see the unfairness of two-tier policing every which way they turn. The senseless murders of innocent children may have been a trigger, but there's an anger & resentment building in this country - separate to this event, which politicians would be foolish to ignore. At least we now know that Starmer lied when he promised to be PM for all.;112;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;
TE9_447;telegraph;cons;british;broadsh;"I read a first hand account from a migrant crossing the Channel who said that as soon as a Border Force or RNLI craft is in sight they all ditch their passports and IDs.  We know why.

Any undocumented migrant should be arrested and detained with no prospect of settling here.

Documented migrants should be processed appropriately. At least we would know who were dealing with and whether their back story stands up. ";109;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
TE1_530;telegraph;cons;british;broadsh;so basically the report tells them exactly what Trump was telling them five years ago. Five years ago they were laughing at him. Not anymore!;108;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE3_414;telegraph;cons;british;broadsh;At some point in the future, it may happen, it may not. I am more concerned about what you, Mr Khan, are doing to to try to make the streets of London safer for. Of equal concern if Starmer saying it WON'T happen in his lifetime, which if the past five weeks are anything to go by, he could push for us re-joining, and accepting the euro as currency, by the end of this year.;99;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE4_525;telegraph;cons;british;broadsh;Watch this hasten the influx of illegal immigrants into the UK, as TTK stands arms outstretched ready with handouts galore ready to rub it in the faces of all native Brits.The United Kingdom, turned dustbin of the world.;96;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
TE9_348;telegraph;cons;british;broadsh;There is nothing controversial about rejecting 100% of ILLEGAL migrants at borders  The % of ILLEGAL migrants who should be granted entry at ANY border is 0 ;93;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
TE4_436;telegraph;cons;british;broadsh;If the UK withdrew from the ECHR over this issue it would not mean that we suddenly became North Korea. Australia NewZealand and Canada are not signed up to ECHR and they are still respected democracies. It is about time that the government put the wishes and interests of its citizens first.;90;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE6_371;telegraph;cons;british;broadsh;Just round 'em up and dump them back on the French beaches whether the French like it or not. Stuff the maritime rules, our country should come first.;89;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE5_606;telegraph;cons;british;broadsh;Socialist Govts always run out of other people's money. In the case of the EU, they have enough of other people's money to last for years... but when it goes bang, the financial, economic and political shockwaves are going to be dramatic. Social unrest and extremist parties are going to be the least of the issues.;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TE10_189;telegraph;cons;british;broadsh;"""The AfD was founded by Eurosceptic university professors but has since become radicalised."" Quite a statement and I want to know the underlying facts and evidence for making it. Most journalists and politicians just throw these comments out - just too easy. ";85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
TE13_1022;telegraph;cons;british;broadsh;An excellent article. However I really do not see that any of the possible leaders for the Conservative Party hold this viewpoint. Worse than that, when Conservative Party members made the choice of Liz Truss, who could have moved the UK to this sort of economy, the Conservative Party kicked her out. As a former member of the party I can never forgive that. Reform is the way forward and I hope that Nigel is reading this article and nodding his head at its common sense.;85;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
TE7_238;telegraph;cons;british;broadsh;Why should Britain take any notice of EU directives. We left the EU some years ago, so I suggest they go stuff themslves.;83;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE9_461;telegraph;cons;british;broadsh;I think populations all over Europe are wanting this to happen, have waited for it to happen... We now have the most pro immigration anti British government we've ever had... He lied when he was made leader, he lied through his time in opposition, he lied while campaigning, he's lying now, don't expect ANY immigrants to be turned away in this country... We have a basket case of a government who literally were given the keys to the castle by less than 30% of voters... He made promises to unions and now has to pay the piper, have a net zero nut in charge of energy, are desperate to keep the Muslim vote on side, they don't CARE about the indigenous population at all... Our county has literally been bought and sold by idiologolies.. ;81;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
TE6_383;telegraph;cons;british;broadsh;We all know the EU are pushing them on to us. We should just send them back to France but sadly, that?s never going to happen. We should just send them home instead - they all seem quite happy to go home to escape justice after breaking our laws. Sadly, none of our politicians has the guts to sort it, while British people suffer with overwhelmed services, massive tax bills and crime.;80;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TE5_608;telegraph;cons;british;broadsh;Eventually - the people will realise that the 'European Empire' - has no clothes on!!!;76;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
TE14_503;telegraph;cons;british;broadsh;Never in the field of human history has a government, elected by so few, become so hated, so quickly, by so many.;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
TE6_379;telegraph;cons;british;broadsh;On one day alone ?.Saturday , Another 801 doctors and scientists arrived on our shores;75;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE11_303;telegraph;cons;british;broadsh;Or the public will sort it out themselves, by making the UK, and Europe as a whole I suspect, too hot to handle. I don't think British or European politicians recognise that we're a bit beyond this now. People want this lot GONE, not redistributed. ;73;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE14_596;telegraph;cons;british;broadsh;We are in nato and the EU has nothing to offer us except servitude. Our service personnel should not be risked on behalf of that vile organusation;73;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
TE2_446;telegraph;cons;british;broadsh;Why doesn?t Ireland have to account to EU for illegal subsidies? Response by Apple should be to relocate to UK. Simples.;72;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TE9_448;telegraph;cons;british;broadsh;A full identification process would involve fingerprint, DNA and eye scan: is there a technical tool deployed that can do this? Undocumented illegal immigrants should be sent back and permanently banned from ever entering the UK, even as a tourist. That would soon help reduce the numbers coming across. ;72;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;
TE14_434;telegraph;cons;british;broadsh;"Spent his whole press conference today, saying he'd protect Muslims from ""the Far Right"", but no mention of protecting Jews from Muslims. edited";71;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
TE8_1003;telegraph;cons;british;broadsh;Stuff like this makes me so proud of my leave vote...;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
